Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
01049,01120,45.8446213549,5.02783224111,La Boisse,Ain,Auvergne-Rhône-Alpes,2937.0,3361.0
01050,01190,46.3727973545,4.9989764059,Boissey,Ain,Auvergne-Rhône-Alpes,331.0,386.0
01050,01380,46.3727973545,4.9989764059,Boissey,Ain,Auvergne-Rhône-Alpes,331.0,386.0
01051,01450,46.1960338503,5.47095075411,Bolozon,Ain,Auvergne-Rhône-Alpes,89.0,95.0
01052,01330,46.0232774841,4.99252709276,Bouligneux,Ain,Auvergne-Rhône-Alpes,309.0,327.0
01053,01000,46.2051520382,5.24602125501,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,40819.0,41525.0
01053,01000,46.2051520382,5.24602125501,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,40819.0,41525.0
01054,01800,45.8861934456,5.14349196896,Bourg-Saint-Christophe,Ain,Auvergne-Rhône-Alpes,1284.0,1517.0
01054,01800,45.8861934456,5.14349196896,Bourg-Saint-Christophe,Ain,Auvergne-Rhône-Alpes,1284.0,1517.0
01056,01640,46.0363677631,5.46322744717,Boyeux-Saint-Jérôme,Ain,Auvergne-Rhône-Alpes,362.0,356.0
01057,01190,46.4051688134,4.9135797178,Boz,Ain,Auvergne-Rhône-Alpes,516.0,510.0
01058,01300,45.6416854652,5.61653371,Brégnier-Cordon,Ain,Auvergne-Rhône-Alpes,856.0,818.0
01060,01110,46.0759940484,5.61418361314,Brénod,Ain,Auvergne-Rhône-Alpes,536.0,518.0
01061,01300,45.7135069062,5.68998154517,Brens,Ain,Auvergne-Rhône-Alpes,1171.0,1129.0
01062,01360,45.869423064,5.1009428902,Bressolles,Ain,Auvergne-Rhône-Alpes,871.0,978.0
01062,01360,45.869423064,5.1009428902,Bressolles,Ain,Auvergne-Rhône-Alpes,871.0,978.0
01063,01460,46.1686327301,5.54656422194,Brion,Ain,Auvergne-Rhône-Alpes,515.0,576.0
01064,01470,45.7708330939,5.48537461884,Briord,Ain,Auvergne-Rhône-Alpes,1000.0,1099.0
01065,01310,46.2104135162,5.14487465017,Buellas,Ain,Auvergne-Rhône-Alpes,1771.0,1851.0
01065,01310,46.2104135162,5.14487465017,Buellas,Ain,Auvergne-Rhône-Alpes,1771.0,1851.0
01066,01510,45.8598709332,5.54609714598,La Burbanche,Ain,Auvergne-Rhône-Alpes,71.0,95.0
01067,01430,46.1256533435,5.49457379202,Ceignes,Ain,Auvergne-Rhône-Alpes,256.0,261.0
01068,01450,46.0720202633,5.47577586118,Cerdon,Ain,Auvergne-Rhône-Alpes,779.0,761.0
01069,01240,46.1337950959,5.26239539372,Certines,Ain,Auvergne-Rhône-Alpes,1552.0,1505.0
01071,01170,46.315689376,6.0779844362,Cessy,Ain,Auvergne-Rhône-Alpes,4817.0,5307.0
01072,01250,46.1832170988,5.32007207542,Ceyzériat,Ain,Auvergne-Rhône-Alpes,3118.0,3285.0
01073,01350,45.8335530148,5.71933090966,Ceyzérieu,Ain,Auvergne-Rhône-Alpes,1016.0,992.0
01074,01320,46.0076491739,5.16936568,Chalamont,Ain,Auvergne-Rhône-Alpes,2407.0,2559.0
01075,01480,46.0340545373,4.79853838574,Chaleins,Ain,Auvergne-Rhône-Alpes,1270.0,1430.0
01076,01230,45.9533367734,5.53682505273,Chaley,Ain,Auvergne-Rhône-Alpes,144.0,124.0
01077,01450,46.1221539654,5.45755377201,Challes-la-Montagne,Ain,Auvergne-Rhône-Alpes,189.0,189.0
01078,01630,46.1768358327,5.97115092939,Challex,Ain,Auvergne-Rhône-Alpes,1370.0,1619.0
01079,01260,45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes,819.0,826.0
01079,01260,45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes,819.0,826.0
01079,01260,45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes,819.0,826.0
01080,01110,46.0198844188,5.60008759722,Champdor-Corcelles,Ain,Auvergne-Rhône-Alpes,663.0,645.0
01080,01110,46.0198844188,5.60008759722,Champdor-Corcelles,Ain,Auvergne-Rhône-Alpes,663.0,645.0
01081,01410,46.220365768,5.82233573131,Champfromier,Ain,Auvergne-Rhône-Alpes,735.0,718.0
01082,01420,46.005695299,5.76893393185,Chanay,Ain,Auvergne-Rhône-Alpes,640.0,616.0
01083,01990,46.0934984191,4.85473364691,Chaneins,Ain,Auvergne-Rhône-Alpes,881.0,1003.0
01084,01400,46.1861812234,5.02807719246,Chanoz-Châtenay,Ain,Auvergne-Rhône-Alpes,804.0,931.0
01085,01240,46.0744536905,5.02162055898,La Chapelle-du-Châtelard,Ain,Auvergne-Rhône-Alpes,383.0,394.0
01087,01130,46.1856344066,5.6811896084,Charix,Ain,Auvergne-Rhône-Alpes,285.0,279.0
01088,01800,45.8736786869,5.2211032563,Charnoz-sur-Ain,Ain,Auvergne-Rhône-Alpes,932.0,898.0
01089,01500,45.9730390239,5.30754273532,Château-Gaillard,Ain,Auvergne-Rhône-Alpes,2053.0,2287.0
01090,01320,46.0259402155,5.2048590395,Châtenay,Ain,Auvergne-Rhône-Alpes,334.0,360.0
01092,01320,45.9748017433,5.2416027725,Châtillon-la-Palud,Ain,Auvergne-Rhône-Alpes,1566.0,1649.0
01093,01400,46.1232390685,4.95810003714,Châtillon-sur-Chalaronne,Ain,Auvergne-Rhône-Alpes,4914.0,5059.0
01094,01190,46.4379785193,5.00693749662,Chavannes-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes,748.0,767.0
01095,01250,46.2750157946,5.41649423093,Nivigne et Suran,Ain,Auvergne-Rhône-Alpes,800.0,832.0
01096,01660,46.1991513767,5.0564069258,Chaveyriat,Ain,Auvergne-Rhône-Alpes,1003.0,1036.0
01098,01300,45.7925770617,5.68477063188,Chazey-Bons,Ain,Auvergne-Rhône-Alpes,1053.0,1188.0
01099,01150,45.8929448968,5.25528498524,Chazey-sur-Ain,Ain,Auvergne-Rhône-Alpes,1516.0,1600.0
01100,01510,45.8227204334,5.6050023969,Cheignieu-la-Balme,Ain,Auvergne-Rhône-Alpes,139.0,131.0
01101,01430,46.1103512578,5.58116056005,Chevillard,Ain,Auvergne-Rhône-Alpes,156.0,150.0
01102,01190,46.38249255,4.96288275972,Chevroux,Ain,Auvergne-Rhône-Alpes,964.0,973.0
01103,01170,46.283152935,6.04707941462,Chevry,Ain,Auvergne-Rhône-Alpes,1525.0,2261.0
01104,01200,46.222573373,5.87248105275,Chézery-Forens,Ain,Auvergne-Rhône-Alpes,460.0,445.0
01104,01410,46.222573373,5.87248105275,Chézery-Forens,Ain,Auvergne-Rhône-Alpes,460.0,445.0
01105,01390,45.922467454,4.88633786877,Civrieux,Ain,Auvergne-Rhône-Alpes,1546.0,1916.0
01106,01250,46.2003848172,5.45082526739,Cize,Ain,Auvergne-Rhône-Alpes,171.0,176.0
01107,01230,45.902146623,5.43272695486,Cleyzieu,Ain,Auvergne-Rhône-Alpes,135.0,140.0
01108,01270,46.3866637865,5.3308227014,Coligny,Ain,Auvergne-Rhône-Alpes,1193.0,1227.0
01109,01550,46.1419227898,5.90040256654,Collonges,Ain,Auvergne-Rhône-Alpes,2195.0,2249.0
01110,01300,45.7361469025,5.62670101041,Colomieu,Ain,Auvergne-Rhône-Alpes,130.0,163.0
01111,01230,45.8834810846,5.47541328981,Conand,Ain,Auvergne-Rhône-Alpes,118.0,135.0
01112,01430,46.105831161,5.55568206762,Condamine,Ain,Auvergne-Rhône-Alpes,415.0,473.0
01113,01400,46.1538469834,5.08437171701,Condeissiat,Ain,Auvergne-Rhône-Alpes,830.0,815.0
01114,01200,46.1543700156,5.83319395258,Confort,Ain,Auvergne-Rhône-Alpes,591.0,685.0
01115,01310,46.270304175,5.05775217893,Confrançon,Ain,Auvergne-Rhône-Alpes,1329.0,1348.0
01116,01300,45.8009403071,5.62087768159,Contrevoz,Ain,Auvergne-Rhône-Alpes,503.0,493.0
01117,01300,45.7253102173,5.60442351043,Conzieu,Ain,Auvergne-Rhône-Alpes,146.0,149.0
01118,01420,45.9659473187,5.78961970355,Corbonod,Ain,Auvergne-Rhône-Alpes,1246.0,1296.0
01121,01110,46.0336885573,5.49635755029,Corlier,Ain,Auvergne-Rhône-Alpes,111.0,117.0
01123,01290,46.2403530179,4.8276569593,Cormoranche-sur-Saône,Ain,Auvergne-Rhône-Alpes,1103.0,1162.0
01124,01560,46.4336632942,5.22181275755,Cormoz,Ain,Auvergne-Rhône-Alpes,663.0,703.0
01125,01250,46.2505107235,5.47152467919,Corveissiat,Ain,Auvergne-Rhône-Alpes,622.0,596.0
01127,01370,46.3267864521,5.35558241812,Courmangoux,Ain,Auvergne-Rhône-Alpes,504.0,504.0
01128,01560,46.4570082032,5.11128546723,Courtes,Ain,Auvergne-Rhône-Alpes,301.0,297.0
01129,01320,45.9663793103,5.19490390871,Crans,Ain,Auvergne-Rhône-Alpes,267.0,306.0
